Governor,Prompt,Element,Tarot,Colors,Filename
ABRIOND,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with lantern raised pose. Chibi proportions with geometric crystal-like structure head shape. Hair or precise geometric hair ornaments incorporating Air element symbolism. Outfit is unique: silvery-white and pale azure ethereal flowing robes with geometric patterns with hexagonal, octahedral, fractal patterns. Include subtle accessory like caduceus of communication. Emulate construction paper layering style exactly, but make this visually unique based on Governor ABRIOND's profile: 'He who prepares his kingdom', Aethyr POP, Air element, Tarot The Hermit, Sephirot Hod, Zodiac Virgo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,The Hermit,"silvery-white, pale azure",ABRIOND_art.png
ADVORPT,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with lantern raised pose. Chibi proportions with geometric structure head shape. Hair or precise geometric hair ornaments incorporating Water element symbolism. Outfit is unique: silvery_blue and pearl_white fluid draped garments with wave patterns with hexagonal_matrix, fractal_water_crystal patterns. Include subtle accessory like caduceus of communication. Emulate construction paper layering style exactly, but make this visually unique based on Governor ADVORPT's profile: 'She who silently watches', Aethyr TEX, Water element, Tarot The Hermit, Sephirot Hod, Zodiac Virgo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,The Hermit,"silvery_blue, pearl_white",ADVORPT_art.png
AMBRIOL,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a howling at the moon pose. Chibi proportions with flowing water-like form head shape. Hair or fish-like scaled patterns incorporating Fire element symbolism. Outfit is unique: luminous indigo and silver-blue angular armor with flame motifs with Vesica Piscis, Wave Spiral, Merkaba lattice patterns. Include subtle accessory like lunar crescent. Emulate construction paper layering style exactly, but make this visually unique based on Governor AMBRIOL's profile: 'He who continuously comforts', Aethyr LOE, Fire element, Tarot The Moon, Sephirot Yesod, Zodiac Pisces. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,The Moon,"luminous indigo, silver-blue",AMBRIOL_art.png
ANDISPI,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a striding forward with scythe pose. Chibi proportions with geometric structure head shape. Hair or sharp angular features incorporating Water element symbolism. Outfit is unique: deep indigo and silver-blue fluid draped garments with wave patterns with fractal wave forms, hexagonal water crystals patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor ANDISPI's profile: 'He who binds into obedience', Aethyr ZOM, Water element, Tarot Death, Sephirot Geburah, Zodiac Scorpio. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,Death,"deep indigo, silver-blue",ANDISPI_art.png
ASPIAON,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a striding forward with scythe pose. Chibi proportions with geometric crystal-like structure head shape. Hair or sharp angular features incorporating Fire element symbolism. Outfit is unique: scorching crimson and deep obsidian black angular armor with flame motifs with hexagonal, merkaba, flower_of_life patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor ASPIAON's profile: 'She who precedes inner truth', Aethyr DEO, Fire element, Tarot Death, Sephirot Geburah, Zodiac Scorpio. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Fire,Death,"scorching crimson, deep obsidian black",ASPIAON_art.png
AXXIARG,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a hands gently holding pose. Chibi proportions with geometric structure head shape. Hair or mane-like flowing hair incorporating Water element symbolism. Outfit is unique: sapphire_blue and silver_mercury fluid draped garments with wave patterns with vesica_piscis, merkaba_star patterns. Include subtle accessory like solar medallion. Emulate construction paper layering style exactly, but make this visually unique based on Governor AXXIARG's profile: 'He whose name is Flame', Aethyr PAZ, Water element, Tarot Strength, Sephirot Tiphareth, Zodiac Leo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Water,Strength,"sapphire_blue, silver_mercury",AXXIARG_art.png
AYDROPT,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a holding scales in one hand pose. Chibi proportions with geometric crystal-like structure head shape. Hair or balanced symmetrical design incorporating Air element symbolism. Outfit is unique: pale silver-azure and luminous white ethereal flowing robes with geometric patterns with Merkaba, Flower of Life, Vesica Piscis patterns. Include subtle accessory like rose of victory. Emulate construction paper layering style exactly, but make this visually unique based on Governor AYDROPT's profile: 'She who sees us with equality', Aethyr TAN, Air element, Tarot Justice, Sephirot Netzach, Zodiac Libra. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,Justice,"pale silver-azure, luminous white",AYDROPT_art.png
CALZIRG,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a kneeling by water pouring pose. Chibi proportions with geometric crystal-like structure head shape. Hair or wave-like flowing elements incorporating Earth element symbolism. Outfit is unique: deep azure and silver-gray solid structured clothing with crystalline details with hexagonal, fractal, geodesic patterns. Include subtle accessory like cup of understanding. Emulate construction paper layering style exactly, but make this visually unique based on Governor CALZIRG's profile: 'She who is in the firmament', Aethyr LIN, Earth element, Tarot The Star, Sephirot Binah, Zodiac Aquarius. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,The Star,"deep azure, silver-gray",CALZIRG_art.png
CHASLPO,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a hands gently holding pose. Chibi proportions with geometric crystal-like structure head shape. Hair or mane-like flowing hair incorporating Earth element symbolism. Outfit is unique: golden amber and deep forest green solid structured clothing with crystalline details with dodecahedron, fractal spiral, merkaba patterns. Include subtle accessory like solar medallion. Emulate construction paper layering style exactly, but make this visually unique based on Governor CHASLPO's profile: 'He of wonderous joy', Aethyr NIA, Earth element, Tarot Strength, Sephirot Tiphareth, Zodiac Leo. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Earth,Strength,"golden amber, deep forest green",CHASLPO_art.png
CHIRZPA,"A chibi-style character in greyscale construction paper cut-out aesthetic, flat shapes with sharp edges and minimal shading, on transparent background. The face is solid black with no features. The body is in a standing with arms crossed pose. Chibi proportions with geometric crystal-like structure head shape. Hair or ram-like curved horns incorporating Air element symbolism. Outfit is unique: electric blue and silver-white ethereal flowing robes with geometric patterns with tetrahedron, octahedron, stellated polyhedron patterns. Include subtle accessory like sword of severity. Emulate construction paper layering style exactly, but make this visually unique based on Governor CHIRZPA's profile: 'He who enjoys loud sounds', Aethyr ASP, Air element, Tarot The Emperor, Sephirot Geburah, Zodiac Aries. Resolution 512x512, optimized for layering in Enochian Cyphers game.",Air,The Emperor,"electric blue, silver-white",CHIRZPA_art.png
